Angle	Frequency	AF	ARF	ax	bx	cx
72.0	80.0	5760.0	643.98757752	0.28800343297	0	0
48.0	192.0	9216.0	665.107510106	0.299238467364	0	0
96.0	48.0	4608.0	665.107510106	0.249994369012	0	0
64.0	112.0	7168.0	677.312335633	0.253628607588	0	0
144.0	24.0	3456.0	705.453045922	0.208194928118	0	0
72.0	96.0	6912.0	705.453045922	0.253507999764	0	0
112.0	40.0	4480.0	708.350195878	0.229316002039	0	0
56.0	160.0	8960.0	708.350195878	0.253756885777	0	0
80.0	80.0	6400.0	715.5417528	0.232017418434	0	0
40.0	320.0	12800.0	715.5417528	0.295767423718	0	0
160.0	20.0	3200.0	715.5417528	0.205879321808	0	0
48.0	224.0	10752.0	718.398218261	0.254168699769	0	0
96.0	56.0	5376.0	718.398218261	0.218738340553	0	0
180.0	16.0	2880.0	720.0	0.202096523432	0	0
128.0	32.0	4096.0	724.077343935	0.228977477764	0	0
16.0	2048.0	32768.0	724.077343935	0.241358862079	0	0
32.0	512.0	16384.0	724.077343935	0.250190563359	0	0
64.0	128.0	8192.0	724.077343935	0.231746621165	0	0
72.0	112.0	8064.0	761.976377587	0.207875872355	0	0
96.0	64.0	6144.0	768.0	0.198790704305	0	0
24.0	1024.0	24576.0	768.0	0.210728264721	0	0
48.0	256.0	12288.0	768.0	0.192341516029	0	0
56.0	192.0	10752.0	775.958761791	0.247574538743	0	0
112.0	48.0	5376.0	775.958761791	0.194351008164	0	0
80.0	96.0	7680.0	783.836717691	0.197287044197	0	0
160.0	24.0	3840.0	783.836717691	0.184148652092	0	0
40.0	384.0	15360.0	783.836717691	0.226384394279	0	0
180.0	20.0	3600.0	804.9844719	0.162816821621	0	0
128.0	40.0	5120.0	809.543081003	0.175594809065	0	0
64.0	160.0	10240.0	809.543081003	0.208225532762	0	0
72.0	128.0	9216.0	814.587011927	0.19396859365	0	0
144.0	32.0	4608.0	814.587011927	0.179299975571	0	0
56.0	224.0	12544.0	838.131254637	0.193043858932	0	0
112.0	56.0	6272.0	838.131254637	0.161085524837	0	0
80.0	112.0	8960.0	846.640419541	0.167984122857	0	0
96.0	80.0	7680.0	858.65010336	0.164573005346	0	0
48.0	320.0	15360.0	858.65010336	0.209256680632	0	0
180.0	24.0	4320.0	881.816307402	0.138490089683	0	0
64.0	192.0	12288.0	886.810013475	0.171380529449	0	0
128.0	48.0	6144.0	886.810013475	0.143167535492	0	0
112.0	64.0	7168.0	896.0	0.146188881061	0	0
56.0	256.0	14336.0	896.0	0.156399191398	0	0
160.0	32.0	5120.0	905.096679919	0.143383499364	0	0
40.0	512.0	20480.0	905.096679919	0.162288220999	0	0
80.0	128.0	10240.0	905.096679919	0.160456598276	0	0
144.0	40.0	5760.0	910.735966128	0.135399217115	0	0
72.0	160.0	11520.0	910.735966128	0.165635723083	0	0
48.0	384.0	18432.0	940.604061229	0.16338620197	0	0
96.0	96.0	9216.0	940.604061229	0.15446644435	0	0
