Angle	Frequency	m	p	ARF	AF	m
24	384	2.9960400484	0.105805671	470.3020306144	9216	2.9960400484
64	56	2.8282043474	-0.0155809355	478.9321455071	3584	2.8282043474
32	224	2.9468040236	0.0672164718	478.9321455071	7168	2.9468040236
144	12	2.583330307	0.0349028729	498.8306325798	1728	2.583330307
72	48	2.7150682525	0.0033038422	498.8306325798	3456	2.7150682525
112	20	2.6421950218	-0.0173890619	500.87922696	2240	2.6421950218
56	80	2.7472335526	0.0034683333	500.87922696	4480	2.7472335526
160	10	2.5681808833	-0.0361112793	505.9644256269	1600	2.5681808833
80	40	2.7266048526	0.0039997545	505.9644256269	3200	2.7266048526
40	160	2.8104109804	0.0029327672	505.9644256269	6400	2.8104109804
48	112	2.7201572269	-0.0022778655	507.9842517244	5376	2.7201572269
180	8	2.5065140145	0.0231213495	509.1168824543	1440	2.5065140145
128	16	2.5975501313	-0.0437317807	512	2048	2.5975501313
64	64	2.7098815111	-0.0557571187	512	4096	2.7098815111
32	256	2.6817203113	0.0576296626	512	8192	2.6817203113
72	56	2.5237781107	0.0048038569	538.7986636954	4032	2.5237781107
96	32	2.5343618849	-0.0343641877	543.0580079513	3072	2.5343618849
48	128	2.5750386873	-0.0047670281	543.0580079513	6144	2.5750386873
24	512	2.5668231833	0.0582281015	543.0580079513	12288	2.5668231833
112	24	2.4456474015	0.0082206753	548.6857023834	2688	2.4456474015
56	96	2.5491671602	-0.0073300609	548.6857023834	5376	2.5491671602
160	12	2.3726006443	-0.0155196526	554.256258422	1920	2.3726006443
80	48	2.5548411469	-0.1104296457	554.256258422	3840	2.5548411469
40	192	2.644359126	0.0201945039	554.256258422	7680	2.644359126
180	10	2.3023667598	-0.0063514554	569.2099788303	1800	2.3023667598
128	20	2.3309658451	0.0158750176	572.4334022399	2560	2.3309658451
64	80	2.4247371678	0.0489616044	572.4334022399	5120	2.4247371678
32	320	2.7039728753	0.0438838441	572.4334022399	10240	2.7039728753
144	16	2.2580698069	0.0436303574	576	2304	2.2580698069
72	64	2.4153096858	-0.0075295803	576	4608	2.4153096858
56	112	2.3208210481	0.0413593105	592.6482936785	6272	2.3208210481
80	56	2.2749079564	0.027532746	598.6651818838	4480	2.2749079564
40	224	2.5122432977	-0.0318845259	598.6651818838	8960	2.5122432977
96	40	2.2190148625	0.0402323324	607.1573107523	3840	2.2190148625
48	160	2.4296776349	-0.014199477	607.1573107523	7680	2.4296776349
180	12	2.1056746805	0.0277141842	623.5382907248	2160	2.1056746805
128	24	2.1436859935	0.0009226012	627.0693741525	3072	2.1436859935
64	96	2.2831621684	-0.0131514347	627.0693741525	6144	2.2831621684
32	384	2.4179178085	-0.0295228473	627.0693741525	12288	2.4179178085
112	32	2.1270503046	0.0530364424	633.5676759431	3584	2.1270503046
56	128	2.2656390326	-0.0157616294	633.5676759431	7168	2.2656390326
160	16	2.0903131155	-0.0109805422	640	2560	2.0903131155
80	64	2.1962743929	-0.024128854	640	5120	2.1962743929
40	256	2.2423850538	-0.0367256359	640	10240	2.2423850538
144	20	2.1097691369	-0.0494325173	643.9875775199	2880	2.1097691369
72	80	2.2623700637	-0.0485175637	643.9875775199	5760	2.2623700637
96	48	2.0588993183	0.0331452097	665.1075101064	4608	2.0588993183
48	192	2.2420718896	0.0158435556	665.1075101064	9216	2.2420718896
64	112	2.0460207101	0.0425331048	677.3123356325	7168	2.0460207101
144	24	1.880558301	0.0387585134	705.4530459216	3456	1.880558301
72	96	2.0130708853	0.0059374681	705.4530459216	6912	2.0130708853
112	40	1.9783303356	-0.0285698608	708.3501958777	4480	1.9783303356
56	160	2.0765191586	0.0182975853	708.3501958777	8960	2.0765191586
160	20	1.882917264	-0.0112011092	715.5417527999	3200	1.882917264
80	80	1.9572238391	0.0111096097	715.5417527999	6400	1.9572238391
40	320	2.1686078382	0.0731417183	715.5417527999	12800	2.1686078382
96	56	1.9304284455	-0.018294001	718.3982182606	5376	1.9304284455
48	224	2.0574438918	0.0488541889	718.3982182606	10752	2.0574438918
180	16	1.8211324085	0.040359323	720	2880	1.8211324085
128	32	1.8658839637	0.0477593606	724.077343935	4096	1.8658839637
